Serial Number of system during year,Basin of origin,Name,Date,Time,lat,lon,"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",windspeed,"Pressure Drop(hPa)[or""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),
1,ARB,ARB 01_2001,21/05/2001,1200,13.5,69.0,1.5,1000, 25, 4,D, ,,
1,ARB,ARB 01_2001,21/05/2001,1800,13.5,70.0,1.5,1000, 25, 4,D, ,,
1,ARB,ARB 01_2001,21/05/2001,2100,13.5,70.0,2.0, 998, 30, 6,DD, ,,
1,ARB,ARB 01_2001,22/05/2001,0000,14.0,71.0,2.0, 998, 30, 6,DD, ,,
1,ARB,ARB 01_2001,22/05/2001,0300,14.0,71.5,2.5, 996, 40, 8,CS, ,,
1,ARB,ARB 01_2001,22/05/2001,0600,14.0,71.5,3.0, 996, 45,10,CS, ,,
1,ARB,ARB 01_2001,22/05/2001,0900,14.0,71.5,3.0, 994, 45,10,CS, ,,
1,ARB,ARB 01_2001,22/05/2001,1200,14.0,71.5,3.0, 992, 45,12,CS, ,,
1,ARB,ARB 01_2001,22/05/2001,1500,14.0,71.5,3.5, 990, 55,14,SCS, ,,
1,ARB,ARB 01_2001,22/05/2001,1800,14.0,71.5,3.5, 988, 55,16,SCS, ,,
1,ARB,ARB 01_2001,22/05/2001,2100,14.5,71.5,4.0, 982, 65,22,VSCS, ,,
1,ARB,ARB 01_2001,23/05/2001,0000,14.5,71.5,4.0, 980, 65,22,VSCS, ,,
1,ARB,ARB 01_2001,23/05/2001,0300,15.0,71.5,4.5, 974, 77,30,VSCS, ,,
1,ARB,ARB 01_2001,23/05/2001,0600,15.5,71.0,5.0, 964, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,23/05/2001,0900,16.0,71.0,5.0, 962, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,23/05/2001,1200,16.0,70.5,5.0, 960, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,23/05/2001,1500,16.0,70.5,5.0, 962, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,23/05/2001,1800,16.0,70.5,5.0, 962, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,23/05/2001,2100,16.0,70.0,5.0, 960, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,0000,16.0,69.5,5.0, 960, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,0300,16.5,69.5,5.5, 950,102,52,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,0600,17.0,69.0,5.5, 946,102,52,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,0900,17.0,68.5,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,1200,17.0,68.5,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,1500,17.0,68.5,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,1800,17.0,68.5,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,24/05/2001,2100,17.0,68.0,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,25/05/2001,0000,17.0,67.5,6.0, 932,115,66,ESCS, ,,
1,ARB,ARB 01_2001,25/05/2001,0300,17.0,68.0,5.5, 948,102,52,ESCS, ,,
1,ARB,ARB 01_2001,25/05/2001,0600,17.0,68.0,5.0, 960, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,25/05/2001,0900,17.0,68.0,5.0, 960, 90,40,ESCS, ,,
1,ARB,ARB 01_2001,25/05/2001,1200,17.2,67.5,4.5, 968, 77,30,VSCS, ,,
1,ARB,ARB 01_2001,25/05/2001,1500,17.0,68.0,4.5, 968, 77,30,VSCS, ,,
1,ARB,ARB 01_2001,25/05/2001,1800,17.0,68.0,4.5, 970, 77,30,VSCS, ,,
1,ARB,ARB 01_2001,25/05/2001,2100,17.0,67.5,4.5, 970, 77,30,VSCS, ,,
1,ARB,ARB 01_2001,26/05/2001,0000,17.5,67.5,4.0, 976, 65,20,VSCS, ,,
1,ARB,ARB 01_2001,26/05/2001,0300,17.5,67.5,3.5, 982, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,0600,17.5,67.5,3.5, 984, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,0900,17.5,67.5,3.5, 984, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,1200,17.5,67.5,3.5, 982, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,1500,17.5,67.5,3.5, 982, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,1800,17.5,67.5,3.5, 982, 55,16,SCS, ,,
1,ARB,ARB 01_2001,26/05/2001,2100,18.0,67.5,3.5, 982, 55,16,SCS, ,,
1,ARB,ARB 01_2001,27/05/2001,0000,18.0,67.5,3.5, 984, 55,16,SCS, ,,
1,ARB,ARB 01_2001,27/05/2001,0300,18.0,67.5,3.0, 986, 45,12,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,0600,18.0,67.5,3.0, 986, 45,10,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,0900,18.0,67.5,3.0, 986, 45,10,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,1200,19.0,67.5,3.0, 988, 45, 8,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,1500,19.0,68.0,2.5, 994, 35, 8,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,1800,19.0,68.0,2.5, 994, 35, 8,CS, ,,
1,ARB,ARB 01_2001,27/05/2001,2100,19.5,68.0,2.5, 994, 35, 8,CS, ,,
1,ARB,ARB 01_2001,28/05/2001,0000,19.5,68.0,2.5, 994, 35, 8,CS, ,,
1,ARB,ARB 01_2001,28/05/2001,0300,20.0,68.0,2.5, 994, 35, 8,CS, ,,
1,ARB,ARB 01_2001,28/05/2001,0600,20.0,68.0,2.5, 996, 35, 8,CS, ,,
1,ARB,ARB 01_2001,28/05/2001,0900,20.0,68.0,2.5, 996, 35, 8,CS, ,,
1,ARB,ARB 01_2001,28/05/2001,1200,21.0,68.5,2.0, 996, 30, 6,DD, ,,
1,ARB,ARB 01_2001,28/05/2001,1500,21.0,68.5,2.0, 996, 30, 6,DD, ,,
1,ARB,ARB 01_2001,28/05/2001,1800,21.5,69.0,1.5, 998, 25, 4,D, ,,
1,ARB,ARB 01_2001,28/05/2001,2100,21.5,69.0,1.5, 998, 25, 4,D, ,,
1,ARB,ARB 01_2001,29/05/2001,0000,21.5,69.0,1.5, 998, 25, 4,D, ,,
2,BOB,,12/06/2001,0300,19.5,87.0,1.5, 990, 25, 4,D, ,,
2,BOB,,12/06/2001,1200,20.0,86.5,1.5, 990, 25, 4,D, ,,
2,BOB,,13/06/2001,0300,21.0,85.5,1.5, 994, 25, 4,D, ,,
2,BOB,,13/06/2001,0900,21.0,85.0,1.5, 994, 25, 4,D, ,,
2,BOB,,13/06/2001,1200,21.5,84.5,, ,,,L, ,,
3,ARB,ARB 02_2001,24/09/2001,0900,17.0,69.5,1.5,1006, 25, 2,D, ,,
3,ARB,ARB 02_2001,24/09/2001,1200,17.0,69.5,1.5,1006, 25, 2,D, ,,
3,ARB,ARB 02_2001,24/09/2001,1800,17.0,69.0,2.0,1004, 30, 4,DD, ,,
3,ARB,ARB 02_2001,25/09/2001,0000,17.0,69.0,2.0,1004, 30, 4,DD, ,,
3,ARB,ARB 02_2001,25/09/2001,0300,17.0,68.5,2.0,1004, 30, 4,DD, ,,
3,ARB,ARB 02_2001,25/09/2001,0600,17.0,68.0,2.0,1000, 30, 4,DD, ,,
3,ARB,ARB 02_2001,25/09/2001,0900,17.0,68.0,2.0,1000, 30, 4,DD, ,,
3,ARB,ARB 02_2001,25/09/2001,1200,17.0,68.0,2.5,1000, 35, 6,CS, ,,
