Serial Number of system during year,Basin of origin,Name,Date,Time,lat,lon,"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",windspeed,"Pressure Drop(hPa)[or""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),
13,BOB,MANDOUS,06/12/2022,1200,8.2,88.2,1.5,1000,25,3,D,,,
,BOB,MANDOUS,06/12/2022,1800,8.4,87.0,1.5,1000,25,4,D,,,
,BOB,MANDOUS,07/12/2022,0000,8.6,86.3,2.0,999,30,5,DD,,,
,BOB,MANDOUS,07/12/2022,0300,8.7,85.7,2.0,999,30,5,DD,,,
,BOB,MANDOUS,07/12/2022,0600,8.7,85.5,2.0,998,30,5,DD,,,
,BOB,MANDOUS,07/12/2022,1200,8.9,85.0,2.0,998,30,6,DD,,,
,BOB,MANDOUS,07/12/2022,1800,9.2,84.6,2.5,997,35,7,CS,,,
,BOB,MANDOUS,07/12/2022,2100,9.3,84.4,2.5,997,35,7,CS,,,
,BOB,MANDOUS,08/12/2022,0000,9.4,84.1,2.5,995,40,8,CS,,,
,BOB,MANDOUS,08/12/2022,0300,9.5,83.8,2.5,994,40,9,CS,,,
,BOB,MANDOUS,08/12/2022,0600,9.7,83.5,2.5,992,45,10,CS,,,
,BOB,MANDOUS,08/12/2022,0900,9.8,83.2,2.5,992,45,10,CS,,,
,BOB,MANDOUS,08/12/2022,1200,10.1,82.9,3.0,990,50,12,SCS,,,
,BOB,MANDOUS,08/12/2022,1500,10.4,82.6,3.0,990,50,12,SCS,,,
,BOB,MANDOUS,08/12/2022,1800,10.6,82.3,3.0,990,50,12,SCS,,,
,BOB,MANDOUS,08/12/2022,2100,10.7,82.0,3.0,990,50,12,SCS,,,
,BOB,MANDOUS,09/12/2022,0000,11.0,81.7,3.0,990,50,12,SCS,,,
,BOB,MANDOUS,09/12/2022,0300,11.1,81.5,2.5,991,45,11,CS,,,
,BOB,MANDOUS,09/12/2022,0600,11.4,81.3,2.5,992,45,10,CS,,,
,BOB,MANDOUS,09/12/2022,0900,11.7,81.0,2.5,992,45,10,CS,,,
,BOB,MANDOUS,09/12/2022,1200,12.0,80.8,2.5,993,40,9,CS,,,
,BOB,MANDOUS,09/12/2022,1500,12.2,80.6,2.5,994,40,8,CS,,,
,BOB,MANDOUS,09/12/2022,1800,12.5,80.3,2.5,995,35,7,CS,,,
,BOB,MANDOUS,09/12/2022,2100,12.8,80,,996,35,7,CS,,,
,BOB,MANDOUS,10/12/2022,0000,12.9,79.7,,998,30,5,DD,,,
,BOB,MANDOUS,10/12/2022,0300,12.8,79.5,,1000,30,4,DD,,,
,BOB,MANDOUS,10/12/2022,0600,12.7,79.3,,1002,25,3,D,,,
